C_DATE,FREE,NAME,PNAME,EXPDT,QTY,AMOUNT,FREEAMT,ITEMCODE,C_MONTH
01-04-2023,-0.011830916,14,135,01-04-2030,4,-0.009899025,-0.005710251,1,0
01-04-2023,-0.018099997,1015,135,01-11-2024,3,-0.008187343,-0.018077801,764,0
01-04-2023,-0.011830916,440,135,01-04-2027,8,-0.007025345,-0.009729534,317,0
01-04-2023,-0.014965457,633,129,01-11-2027,4,-0.008862621,-0.011391981,924,0
01-04-2023,-0.014965457,1129,129,01-06-2024,3,-0.01470106,-0.014792351,857,0
01-04-2023,0.047725346,642,127,01-09-2024,3,-0.008908919,0.168187792,493,0
01-04-2023,0.003841784,461,127,01-05-2024,1,-0.014537249,0.054233266,495,0
01-04-2023,-0.018099997,300,128,01-12-2024,3,-0.015440988,-0.018077801,233,0
01-04-2023,-0.011830916,735,128,01-01-2025,10,-0.010290285,-0.013555012,578,0
01-04-2023,-0.018099997,812,128,01-04-2024,6,-0.015930905,-0.018077801,635,0
01-04-2023,-0.018099997,813,128,01-08-2023,1,-0.017663463,-0.018077801,636,0
01-04-2023,-0.018099997,152,128,01-10-2023,3,-0.016294051,-0.018077801,122,0
01-04-2023,-0.018099997,153,128,01-12-2024,6,-0.013880322,-0.018077801,120,0
01-04-2023,-0.018099997,529,128,01-05-2025,3,-0.014787427,-0.018077801,383,0
01-04-2023,-0.018099997,993,128,01-02-2025,3,-0.015190978,-0.018077801,750,0
01-04-2023,-0.011830916,1180,128,01-05-2024,18,-0.015945047,-0.017382437,893,0
03-04-2023,-0.018099997,421,88,01-05-2024,15,-0.009270044,-0.018077801,300,0
03-04-2023,-0.018099997,845,88,01-11-2023,120,0.016498619,-0.018077801,653,0
03-04-2023,0.038321725,8,88,01-10-2025,30,-0.00598709,0.002958429,401,0
03-04-2023,-0.014965457,129,88,01-02-2024,20,-0.010633733,-0.016996773,108,0
03-04-2023,-0.018099997,130,88,01-11-2023,3,-0.015805648,-0.018077801,109,0
03-04-2023,-0.018099997,845,103,01-11-2023,60,-0.001324117,-0.018077801,653,0
03-04-2023,-0.014965457,81,48,01-04-2027,4,-0.013150327,-0.01449239,59,0
03-04-2023,-0.011830916,633,48,01-11-2027,10,0.005006597,-0.00470616,924,0
03-04-2023,-0.018099997,990,48,01-10-2027,3,-0.010049872,-0.018077801,748,0
03-04-2023,-0.014965457,1216,48,01-06-2024,11,-0.009773262,-0.01588604,925,0
03-04-2023,-0.014965457,632,48,01-10-2025,2,-0.013150664,-0.010907466,490,0
03-04-2023,-0.014965457,1217,48,01-09-2024,11,0.019407485,-0.008213173,926,0
04-04-2023,0.010110864,845,81,01-11-2023,21,-0.009337219,-0.0072047,653,0
04-04-2023,0.010110864,846,81,01-06-2024,21,-0.009337219,-0.0072047,656,0
05-04-2023,-0.008696376,347,0,01-04-2024,33,0.047072349,0.000155059,258,0
05-04-2023,0.000707244,724,0,01-11-2024,21,0.021641914,0.017628278,569,0
06-04-2023,0.075936206,640,152,01-02-2025,60,0.017963322,0.034089128,491,0
06-04-2023,-0.018099997,935,152,01-08-2023,120,0.014599557,-0.018077801,712,0
06-04-2023,-0.018099997,796,152,01-06-2023,1,-0.0165082,-0.018077801,621,0
06-04-2023,-0.011830916,249,147,01-07-2024,18,-0.011823677,-0.016057934,195,0
06-04-2023,0.000707244,250,147,01-07-2024,20,-0.007633618,-0.008988397,196,0
06-04-2023,-0.018099997,886,147,01-10-2024,6,-0.006980731,-0.018077801,680,0
06-04-2023,-0.014965457,870,147,01-04-2024,9,-0.011657678,-0.015918179,673,0
06-04-2023,-0.011830916,735,17,01-01-2025,10,-0.010290285,-0.013555012,578,0
06-04-2023,0.050859886,848,17,01-11-2025,18,-0.013011602,-5.87E-05,657,0
06-04-2023,0.032052645,966,17,01-10-2023,44,0.003055007,0.004181647,733,0
06-04-2023,-0.005561836,202,17,01-03-2025,20,-0.009876128,-0.013315432,159,0
06-04-2023,0.000707244,650,17,01-10-2025,20,-0.010027649,-0.011065724,499,0
06-04-2023,0.000707244,664,17,01-10-2025,20,-0.010027649,-0.011065724,513,0
